,Model_Boy,Model_Göğüs,Model_Bel,Model_Kalça,Model_Beden,Model_Kilo,Type,URL,Kumaş Tipi,Desen,Kalıp,Persona,Kol Tipi,Yaka Tipi,Renk,Kol Boyu,Boy,Siluet,Ortam,Paket İçeriği,Materyal Bileşeni,,Materyal,Koleksiyon,Stil,Boy / Ölçü,Yaş,Kapama Şekli,Cep,Ürün Detayı,Ürün Tipi,Kalınlık,Ek Özellik,Sürdürülebilirlik Detayı,Sezon,Astar Durumu,Dokuma Tipi,Baskı/Nakış Tekniği,Kemer/Kuşak Durumu,Teknik,İçerik,Cep Tipi,Model,Alt-Üst Takım,Paça Tipi,Parça Sayısı,Bel
0,,,,,,,Dress,https://www.trendyol.com/hakke/bel-lastikli-yarasa-kol-keten-elbise-p-790728343,Dokuma,Baskılı,Regular,Cool & Comfort,Kısa Kol,Bisiklet Yaka,Lacivert,Kısa,Midi,A-line,Casual/Günlük,Tekli,"95% Pamuk, 5% Elastan",• 30 Derecede makinede yıkanabilir • Beyazlatıcı kullanımı önerilmez • Kurutucu kullanımı önerilmez • Tersten ve düşük ısı ile ütü önerilir • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,%100 Pamuk,Tesettür Giyim,Trend,Uzun,Tüm Yaş Grupları,Kapamasız,,,Düz,İnce,,,,,,Baskısız,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/nisshop/inci-dugme-detayli-maxi-boy-triko-plaj-elbisesi-p-824260494,Dokuma,Desenli,Comfort,Feminine,Uzun Kol,V Yaka,Beyaz,Uzun,Uzun,,Beachwear,,,,Polyester,Modest,Trend,Uzun,,Kapamasız,Cepsiz,,,İnce,,,,Astarsız,Örgü,,Kemersiz,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/afis-butik/siyah-karpuz-kollu-midi-boy-elbise-p-733981051,Dokuma,Düz,Regular,Fashion Forward,Standart Kol,Bisiklet Yaka,Siyah,Kısa,Midi,A-line,Casual/Günlük,Tekli,"95% Polyester, 5% Elastan",Type 1,,Design,Trend,Midi,,Fermuarlı,Cepsiz,,Düz,Orta,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/benisengiydir/kadin-siyah-cepli-bisiklet-yaka-elbise-p-822161618,Örme,Çizgili,Slim Fit,,Kısa Kol,Bisiklet Yaka,Siyah,,Standart,,,,,,Pamuk Polyester,,,Mini,,,,,,,,,,,,,,,,,,,,,
0,168,87,63,93,SSORU,55,Dress,https://www.trendyol.com/olalady/prenses-kollu-romantik-siyah-kalem-elbise-p-467939069,Dokuma,Düz,Kalem,Sexy,Uzun Kol,Degaje Yaka,Siyah,Uzun,Mini,Bodycone,Şık / gece,Tekli,,Type1,,Party,Gece,Midi,21 - 40 Yaş,Fermuarlı,Cepsiz,,Düz,İnce,İç Göstermeyen,Recycle+Organik,,Astarsız,Tül,Baskısız,Kemersiz,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/guitar/klos-tas-poplin-elbise-p-814592488,Dokuma,,Kloş,,,,Gri,,Midi,,,,"98% Pamuk, 2% Elastan",,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/world-fashion-trends/madonna-yaka-buzgulu-bodycon-uzun-kollu-elbise-p-781534230,Örme,Düz,Bele Oturan,Fashion Forward,Uzun Kol,Straplez,Siyah,Uzun,Mini,Bodycone,Casual/Günlük,Tekli,,Type1,Viskon,Design,Günlük,Mini,,,,,Düz,Kalın,,,,,,,,,,,,,,,
0,1.75Numune,,,,,,Dress,https://www.trendyol.com/fav-style/kadin-kaskorse-bisiklet-yaka-kisa-kollu-fitilli-mini-elbise-siyah-p-259372298,Örme,Düz,Bodycon,Young,Kısa Kol,Bisiklet Yaka,Siyah,Kısa,Mini,Bodycone,Günlük,Tekli,,Type1,Örme,Young,Günlük,Mini,,Kapamasız,Cepsiz,,Düz,,Ek Özellik Mevcut Değil,,,Astarsız,Kaşkorse,Baskısız,Kemersiz,,,,,,,,
0,,,,,,,Dress,https://www.trendyol.com/lumuteks/yirtmac-detayli-kare-yaka-sirt-dekolteli-maxi-elbise-p-800086047,Örme,Düz,Regular,Sexy,Uzun Kol,Havuz Yaka,Siyah,Uzun,Uzun,Basic,Günlük,Tekli,,T1,,Basic,Günlük,Maxi,,,,Yırtmaçlı,,,,,,,,,,,,,,,,,
0,1.75Numune,,,,,,Dress,https://www.trendyol.com/kozzy/kadin-fitted-vucuda-oturan-polo-yaka-kisa-kollu-elbise-balo-mezuniyet-kina-dugun-davet-siyah-p-688735605,Örme,Düz,Fitted,Sexy,Kısa Kol,Polo Yaka,Siyah,Kısa,Mini,Slim,Günlük,Tekli,,,Örme,Basic,Günlük,Mini,Tüm Yaş Grupları,Kapamasız,Cepsiz,,Düz,İnce,İç Göstermeyen,Organik,SS,Astarsız,Kaşkorse,,Kemersiz,,,,,,,,
